source,stage,value
empirical,years_1_4,1.4821011693731814
empirical,years_1_4,6.210638149389072
empirical,years_1_4,-8.234181798146984
empirical,years_1_4,7.348846743266376
empirical,years_1_4,7.200019461162331
empirical,years_1_4,-3.7933386671472507
empirical,years_1_4,-0.17761709535828363
empirical,years_1_4,-3.2290636986567964
empirical,years_1_4,1.2867458068478577
empirical,years_1_4,-6.059306703857211
empirical,years_1_4,5.561949910036371
empirical,years_1_4,-7.012981309862083
empirical,years_1_4,-4.113504664211525
empirical,years_1_4,12.67042138806896
empirical,years_1_4,-4.130847863160415
empirical,years_1_4,2.0850994942895476
empirical,years_1_4,-0.4310175134429777
empirical,years_1_4,-5.613461002135438
empirical,years_1_4,4.885269831969991
empirical,years_1_4,-4.885269831969991
empirical,years_1_4,1.1879399624501779
empirical,years_1_4,-3.81361623374017
empirical,years_1_4,3.581253346452926
empirical,years_1_4,1.0495030164649277
empirical,years_1_4,2.6346825995605436
empirical,years_1_4,3.3889829100719115
empirical,years_1_4,-3.7933386671472507
empirical,years_1_4,3.051446603298513
empirical,years_1_4,-1.4510313998257118
empirical,years_1_4,4.06975709989239
empirical,years_1_4,-2.7569189642473946
empirical,years_1_4,-1.312838135644996
empirical,years_1_4,0.0
empirical,years_1_4,4.6144047052993615
empirical,years_1_4,4.222783684498263
empirical,years_1_4,3.868685096703217
empirical,years_1_4,-6.352936743250421
empirical,years_1_4,5.853085487032883
empirical,years_1_4,-2.102766004969576
empirical,years_1_4,-0.14286942719961138
empirical,years_1_4,0.0
empirical,years_1_4,6.921607057949043
empirical,years_1_4,-0.29371576560082424
empirical,years_1_4,-0.2749545490977976
empirical,years_1_4,1.7363789006703432
empirical,years_1_4,-1.7363789006703432
empirical,years_1_4,6.4509380103866425
empirical,years_1_4,-0.2273457135515775
empirical,years_1_4,3.771983509341897
empirical,years_1_4,-3.8532701874177007
empirical,years_1_4,2.3497018888837338
empirical,years_1_4,-2.4235642557234627
empirical,years_1_4,10.36488697738492
empirical,years_1_4,-11.995168149001884
empirical,years_1_4,-5.573406027569876
empirical,years_1_4,8.841705683854633
empirical,years_1_4,-7.714444087643125
empirical,years_1_4,-12.190288932966794
